Geneid	Case1	Case2	Control1	Control2
ENSG00000273514.2	0	0	0	0
ENSG00000215126.11	0	0	0	0
ENSG00000276029.1	0	0	0	0
ENSG00000277049.1	0	0	0	0
ENSG00000279561.3	138	137	2	0
ENSG00000275450.1	63	42	0	0
ENSG00000278647.1	0	0	0	0
ENSG00000274680.1	57	9	75	8
ENSG00000276502.1	10	5	3	3
ENSG00000276832.2	0	24	5	7
ENSG00000288891.1	9	9	6	8
ENSG00000275160.1	0	0	0	0
ENSG00000277340.1	0	0	2	2
ENSG00000276094.1	0	0	0	0
ENSG00000276562.1	0	2	0	0
ENSG00000288225.1	7	0	3	0
ENSG00000278077.1	0	0	0	0
ENSG00000278054.1	0	0	0	1
ENSG00000276412.2	1	0	21	1
ENSG00000275239.4	4	1	4	8
ENSG00000278028.1	0	0	0	0
ENSG00000274688.1	0	0	0	0
ENSG00000278001.1	9	0	0	17
ENSG00000275297.1	17	18	26	53
ENSG00000154529.15	28	48	9	18
ENSG00000237207.2	0	0	0	0
ENSG00000270909.1	0	0	0	0
ENSG00000273717.1	0	0	0	0
ENSG00000185775.10	12	29	36	20
ENSG00000239986.2	0	1	1	1
ENSG00000277260.1	8	5	11	4
ENSG00000276277.1	0	0	0	0
ENSG00000275649.1	14	30	2	1
ENSG00000268234.1	12	67	0	4
ENSG00000277213.1	1	4	19	0
ENSG00000234861.2	42	4	0	19
ENSG00000227353.1	10	30	18	8
ENSG00000227924.2	42	17	2	57
ENSG00000237357.2	0	0	14	62
ENSG00000212952.6	0	0	0	0
ENSG00000229311.1	20	7	2	0
ENSG00000204816.5	2	19	1	0
ENSG00000230245.2	4	1	4	0
ENSG00000216829.6	1	18	1	2
ENSG00000233424.2	112	1	148	0
ENSG00000287276.1	0	0	8	7
ENSG00000204818.4	0	0	0	0
ENSG00000224537.1	4	2	7	2
ENSG00000236816.3	93	24	20	26
ENSG00000286793.1	0	0	0	0
ENSG00000238529.1	0	0	0	0
ENSG00000273900.1	0	0	0	0
ENSG00000275144.1	0	0	0	0
ENSG00000230635.2	1	10	1	2
ENSG00000229079.1	20	1	1	7
ENSG00000213816.3	0	35	14	0
ENSG00000276128.2	4	8	1	107
ENSG00000277737.3	44	11	22	10
ENSG00000286506.1	50	15	50	2
ENSG00000287800.1	0	0	0	0
ENSG00000286916.1	0	8	0	2
ENSG00000277598.1	1	1	1	0
ENSG00000276581.3	17	15	9	33
ENSG00000275628.2	0	2	1	3
ENSG00000274516.2	0	16	42	41
ENSG00000276422.2	10	14	0	16
ENSG00000278485.1	0	0	0	0
ENSG00000283541.1	16	25	3	29
ENSG00000276040.4	24	15	16	36
ENSG00000277412.1	0	4	1	0
ENSG00000276149.1	0	0	0	0
ENSG00000274583.1	0	19	38	18
ENSG00000275676.1	0	19	0	25
ENSG00000283378.1	10	60	45	11
ENSG00000276522.1	0	0	0	0
ENSG00000277109.1	0	1	0	0
ENSG00000231248.3	0	5	23	0
ENSG00000238933.1	0	0	0	0
ENSG00000204814.5	4	0	14	15
ENSG00000231454.2	0	8	0	0
ENSG00000273940.1	0	3	0	0
ENSG00000231527.7	36	21	115	33
ENSG00000235659.1	0	0	0	0
ENSG00000223379.1	0	0	0	0
ENSG00000238749.1	0	0	0	0
ENSG00000229697.2	0	0	0	0
ENSG00000276845.1	0	0	0	0
ENSG00000284471.1	0	0	0	0
ENSG00000231995.2	15	6	21	4
ENSG00000231212.1	9	12	2	3
ENSG00000236450.1	0	1	2	1
ENSG00000252133.1	0	0	0	0
ENSG00000275230.1	1	0	0	1
ENSG00000204802.3	0	0	3	1
ENSG00000227449.8	4	18	5	4
ENSG00000233651.2	0	0	0	0
ENSG00000226429.2	0	0	0	0
ENSG00000224603.1	7	1	5	0
ENSG00000232827.3	19	43	1	3
ENSG00000204801.7	0	0	0	0
ENSG00000226007.3	0	0	37	81
ENSG00000212951.5	0	0	0	0
ENSG00000278213.1	0	1	2	7
ENSG00000234217.2	19	30	1	34
ENSG00000236825.2	7	3	3	0
ENSG00000234451.1	0	0	0	33
ENSG00000241571.2	2	38	0	7
ENSG00000234276.1	2	11	10	0
ENSG00000235256.1	13	52	44	54
ENSG00000288838.1	0	15	21	0
ENSG00000238113.7	0	19	3	0
ENSG00000287168.2	0	0	0	0
ENSG00000202474.1	0	0	0	0
ENSG00000229422.2	6	51	32	0
ENSG00000184523.4	1	17	1	1
ENSG00000237451.3	11	4	0	0
ENSG00000234665.9	4	4	29	25
ENSG00000238245.2	0	0	0	0
ENSG00000227582.2	0	0	0	0
ENSG00000219693.3	0	0	0	0
ENSG00000170161.7	0	0	1	2
ENSG00000273509.1	0	11	6	13
ENSG00000244081.1	3	6	6	17
ENSG00000198312.4	3	31	15	41
ENSG00000182021.10	22	23	28	2
ENSG00000176115.9	15	37	23	52
ENSG00000237238.3	11	16	21	44
ENSG00000186466.5	0	0	0	0
ENSG00000228522.2	0	0	0	0
ENSG00000233555.2	2	21	6	2
ENSG00000234042.1	0	3	0	26
ENSG00000268951.1	0	2	0	2
ENSG00000224267.1	5	0	1	0
ENSG00000225360.1	0	0	0	0
ENSG00000228656.1	0	1	0	0
ENSG00000226020.4	5	0	9	5
ENSG00000239684.2	1	4	0	0
ENSG00000225411.3	0	99	63	0
ENSG00000207277.1	0	0	0	0
ENSG00000232815.1	0	8	25	22
ENSG00000266017.1	0	0	0	0
ENSG00000215548.2	3	24	71	22
ENSG00000204790.9	12	11	6	18
ENSG00000288690.2	29	2	8	151
ENSG00000288694.1	54	156	6	6
ENSG00000275068.1	0	0	0	0
ENSG00000285580.1	43	11	44	17
ENSG00000172014.12	143	33	17	110
ENSG00000238551.1	0	0	0	0
ENSG00000224185.1	1	25	34	2
ENSG00000229156.1	0	9	7	1
ENSG00000224106.1	12	18	10	5
ENSG00000224762.1	21	0	4	25
ENSG00000235832.2	2	0	38	47
ENSG00000235310.1	0	37	4	14
ENSG00000277869.1	0	0	0	1
ENSG00000181997.8	13	38	32	35
ENSG00000176134.5	44	6	38	2
ENSG00000225883.2	13	23	28	23
ENSG00000235932.2	6	7	7	6
ENSG00000156755.10	0	4	4	0
ENSG00000271225.1	2	0	0	0
ENSG00000197550.3	1	2	116	3
ENSG00000223602.2	15	9	19	19
ENSG00000206804.1	0	0	0	0
ENSG00000287988.1	32	7	3	1
ENSG00000224599.1	27	41	16	15
ENSG00000236252.2	11	9	8	21
ENSG00000267085.1	0	0	0	0
ENSG00000204780.5	0	4	4	1
ENSG00000204779.2	0	2	7	0
ENSG00000204778.4	7	13	11	16
ENSG00000287329.1	0	3	22	0
ENSG00000276723.1	0	0	0	0
ENSG00000280286.1	2	1	1	6
ENSG00000147996.17	18	36	28	48
ENSG00000184659.6	0	24	26	0
ENSG00000204776.6	0	7	6	8
ENSG00000237904.2	12	6	1	12
ENSG00000235893.5	0	0	0	0
ENSG00000231701.1	25	37	11	22
ENSG00000279955.3	12	6	12	2
ENSG00000279688.1	19	23	17	53
ENSG00000274893.1	55	0	0	4
ENSG00000273668.1	0	0	0	0
ENSG00000275026.1	2	29	19	25
ENSG00000278068.1	2	30	1	19
ENSG00000278720.1	23	8	6	9
ENSG00000274628.5	0	0	0	0
ENSG00000286945.1	3	17	7	11
ENSG00000229146.2	0	0	0	0
ENSG00000276257.1	0	0	0	0
ENSG00000276203.5	18	69	37	40
ENSG00000275030.1	0	0	0	0
ENSG00000284611.1	41	2	16	4
ENSG00000284658.1	6	10	2	13
ENSG00000233765.1	2	12	4	26
ENSG00000274181.1	32	49	4	32
ENSG00000276894.1	9	9	4	3
ENSG00000277297.1	4	14	0	7
ENSG00000273849.1	19	5	16	5
ENSG00000276457.1	5	27	44	48
ENSG00000274349.5	2	34	27	63
ENSG00000277490.1	0	0	0	0
ENSG00000277350.2	2	2	5	12
ENSG00000276039.1	0	0	0	0
ENSG00000274355.1	8	7	14	18
ENSG00000276348.1	5	19	4	0
ENSG00000274820.1	0	0	0	0
ENSG00000275969.2	4	43	6	36
ENSG00000276386.1	38	103	14	29
ENSG00000274852.1	0	0	0	0
ENSG00000277575.1	0	0	0	0
ENSG00000273999.1	0	0	0	0
ENSG00000276204.1	2	7	0	36
ENSG00000276898.1	11	24	10	10
ENSG00000275904.1	0	0	0	0
ENSG00000274026.2	38	0	35	41
ENSG00000278763.1	0	0	0	0
ENSG00000275493.2	0	0	4	2
ENSG00000274098.1	0	0	0	0
ENSG00000278010.1	0	0	0	0
ENSG00000277618.1	1	0	3	3
ENSG00000260691.7	64	52	59	64
ENSG00000278551.1	0	0	0	0
ENSG00000226904.1	0	0	1	5
ENSG00000196873.16	20	28	30	36
ENSG00000279706.1	0	0	0	0
ENSG00000187559.6	1	77	8	42
ENSG00000234394.8	11	22	78	42
ENSG00000225337.1	0	0	0	0
ENSG00000154330.13	60	12	162	32
ENSG00000224958.6	0	0	0	0
ENSG00000233178.7	0	0	0	0
ENSG00000229019.1	0	0	0	0
ENSG00000181778.5	65	62	75	39
ENSG00000226337.3	3	126	118	74
ENSG00000234506.6	0	0	0	0
ENSG00000224025.2	0	0	0	0
ENSG00000107242.20	4	20	197	9
ENSG00000187866.10	0	0	0	0
ENSG00000236998.2	0	0	0	0
ENSG00000236733.1	0	0	0	0
ENSG00000207000.1	0	0	0	0
ENSG00000288771.1	0	0	0	0
ENSG00000165059.8	1	0	0	0
ENSG00000285130.2	1	13	0	0
ENSG00000165060.15	0	0	0	0
ENSG00000270236.1	0	0	0	0
ENSG00000119139.21	0	0	3	0
ENSG00000278910.5	0	24	39	0
ENSG00000135063.20	66	102	42	38
ENSG00000107282.8	1	0	3	4
ENSG00000243888.1	0	0	0	0
ENSG00000229312.2	0	0	0	0
ENSG00000261447.1	48	14	0	0
ENSG00000188647.13	6	196	44	4
ENSG00000225626.4	11	5	0	0
ENSG00000204711.9	54	0	1	17
ENSG00000241174.3	0	0	0	0
ENSG00000204706.14	0	0	0	0
ENSG00000165072.10	0	0	0	0
ENSG00000222465.1	0	0	0	0
ENSG00000268364.3	69	31	0	29
ENSG00000236801.1	0	0	0	0
ENSG00000198887.9	1	4	9	5
ENSG00000274421.1	0	0	0	0
ENSG00000239180.1	0	0	0	0
ENSG00000119138.5	188	0	0	0
ENSG00000289159.1	0	0	0	0
ENSG00000083067.24	92	43	14	12
ENSG00000272232.2	0	0	0	0
ENSG00000232086.1	0	0	0	0
ENSG00000223966.1	0	0	0	0
ENSG00000207935.3	0	0	0	0
ENSG00000224437.2	0	0	0	0
ENSG00000289163.1	18	0	0	1
ENSG00000229814.1	0	5	1	0
ENSG00000135048.14	1	1	87	16
ENSG00000271166.1	0	0	0	0
ENSG00000107362.14	130	36	1	3
ENSG00000200922.1	0	0	0	0
ENSG00000155621.15	1	40	5	28
ENSG00000236060.2	0	0	3	0
ENSG00000204669.11	0	0	55	0
ENSG00000286823.1	24	33	0	0
ENSG00000224820.2	19	0	5	16
ENSG00000119125.17	36	4	45	3
ENSG00000235523.1	11	13	0	19
ENSG00000233933.2	8	0	0	0
ENSG00000252428.1	0	0	0	0
ENSG00000225434.4	11	41	25	18
ENSG00000107372.13	1	2	0	23
ENSG00000288865.1	34	0	2	0
ENSG00000230003.2	0	0	0	0
ENSG00000225947.1	0	0	19	0
ENSG00000165091.18	2	8	4	4
ENSG00000236862.1	0	0	0	0
ENSG00000229753.1	0	0	0	0
ENSG00000236849.6	0	22	28	0
ENSG00000165092.13	88	24	45	22
ENSG00000228024.1	0	0	0	0
ENSG00000135046.14	47	1	49	67
ENSG00000221844.2	53	0	26	43
ENSG00000286840.1	31	0	0	36
ENSG00000232590.1	18	0	8	0
ENSG00000236701.3	0	47	1	19
ENSG00000212454.1	0	0	0	0
ENSG00000223368.2	21	0	2	0
ENSG00000227809.2	32	5	0	0
ENSG00000224825.2	0	1	1	0
ENSG00000198963.11	101	553	2	155
ENSG00000286944.1	0	0	0	0
ENSG00000119121.22	91	8	54	100
ENSG00000202217.1	0	0	0	0
ENSG00000270954.1	0	0	0	0
ENSG00000252758.1	0	0	0	0
ENSG00000224297.2	11	24	5	19
ENSG00000135045.7	0	0	115	115
ENSG00000203321.2	4	24	14	21
ENSG00000156017.13	73	40	0	1
ENSG00000229587.2	0	0	0	0
ENSG00000278040.1	0	0	0	0
ENSG00000106733.21	37	0	0	1
ENSG00000134996.12	39	1	2	3
ENSG00000200041.1	0	0	0	0
ENSG00000212316.1	0	0	0	0
ENSG00000235707.2	22	0	47	45
ENSG00000236376.1	23	1	0	0
ENSG00000234644.2	5	3	0	4
ENSG00000099139.14	29	9	29	32
ENSG00000231137.1	0	0	0	0
ENSG00000135002.12	33	0	0	0
ENSG00000234618.1	0	0	39	44
ENSG00000187210.14	60	21	46	35
ENSG00000233814.1	0	0	0	0
ENSG00000219149.4	0	0	0	0
ENSG00000106772.19	2	0	1	21
ENSG00000225937.3	0	0	0	0
ENSG00000274326.1	0	0	0	0
ENSG00000277320.1	0	0	0	0
ENSG00000286332.1	110	89	0	0
ENSG00000230335.1	19	0	0	0
ENSG00000236604.1	20	0	24	15
ENSG00000229857.1	7	1	36	16
ENSG00000204612.1	0	14	0	0
ENSG00000232851.3	0	0	0	0
ENSG00000233526.1	15	47	28	0
ENSG00000232998.3	0	0	2	2
ENSG00000197969.14	4	26	28	207
ENSG00000156049.7	34	56	2	1
ENSG00000231373.1	0	0	0	0
ENSG00000228248.1	0	0	0	0
ENSG00000201711.1	0	0	0	0
ENSG00000156052.11	16	100	6	3
ENSG00000233457.1	0	0	31	3
ENSG00000222452.1	0	0	0	0
ENSG00000233947.1	0	33	0	0
ENSG00000228781.1	7	15	10	11
ENSG00000234819.1	3	0	0	0
ENSG00000289440.1	35	0	0	10
ENSG00000148019.14	31	0	0	146
ENSG00000135069.14	17	2	1	2
ENSG00000270627.1	2	0	0	10
ENSG00000237257.1	48	0	0	0
ENSG00000226234.2	0	44	0	0
ENSG00000260995.3	2	95	22	68
ENSG00000186940.6	0	1	14	5
ENSG00000233086.8	22	4	0	0
ENSG00000106829.20	2	1	9	51
ENSG00000270691.1	33	27	17	12
ENSG00000238002.3	211	0	19	23
ENSG00000232494.1	18	1	20	0
ENSG00000260564.1	152	68	4	104
ENSG00000279715.1	0	0	0	0
ENSG00000280366.1	0	0	32	0
ENSG00000230945.1	0	0	19	0
ENSG00000236521.1	114	0	0	0
ENSG00000232981.1	5	45	54	0
ENSG00000225901.1	25	37	12	1
ENSG00000234637.1	12	0	3	0
ENSG00000226798.1	34	0	30	0
ENSG00000228375.1	3	6	0	3
ENSG00000237072.1	0	14	24	1
ENSG00000196781.16	18	163	57	32
ENSG00000233926.1	0	2	93	26
ENSG00000207206.1	0	0	0	0
ENSG00000252167.1	0	0	0	0
ENSG00000200969.1	0	0	0	0
ENSG00000240632.6	188	11	3	91
ENSG00000230846.1	3	0	0	0
ENSG00000189357.9	0	0	0	0
ENSG00000267559.5	56	16	23	2
ENSG00000186788.14	0	0	0	0
ENSG00000237770.2	0	0	0	0
ENSG00000228430.9	47	28	12	40
ENSG00000214929.4	0	0	0	0
ENSG00000231649.3	0	0	0	0
ENSG00000230360.1	0	0	0	0
ENSG00000235377.1	0	0	0	0
ENSG00000225085.1	0	0	0	0
ENSG00000228046.2	0	0	0	0
ENSG00000228123.4	0	0	0	0
ENSG00000232749.2	0	0	0	0
ENSG00000278988.1	0	0	0	0
ENSG00000286612.1	0	0	0	0
ENSG00000233309.1	0	0	0	0
ENSG00000165105.10	2	0	60	51
ENSG00000286451.1	0	0	39	0
ENSG00000251776.1	0	1	0	0
ENSG00000273806.1	0	0	0	0
ENSG00000229109.2	8	22	0	80
ENSG00000172159.16	348	7	14	62
ENSG00000237529.2	0	0	0	0
ENSG00000251752.1	0	0	0	0
ENSG00000199483.1	0	0	0	0
ENSG00000148057.16	3	75	30	16
ENSG00000135018.14	58	183	34	2
ENSG00000254473.2	0	1	0	0
ENSG00000165113.13	179	1	0	3
ENSG00000226877.9	8	0	12	0
ENSG00000231616.9	0	0	0	0
ENSG00000165115.15	57	4	29	25
ENSG00000165118.15	84	0	0	130
ENSG00000165119.21	14	86	0	0
ENSG00000284179.1	0	0	0	0
ENSG00000235298.1	0	0	0	0
ENSG00000178966.17	1	168	132	92
ENSG00000202523.1	0	0	0	0
ENSG00000227463.3	129	25	1	136
ENSG00000270166.1	0	0	0	0
ENSG00000197506.8	12	0	2	6
ENSG00000233262.1	0	0	0	0
ENSG00000285987.1	3	136	179	4
ENSG00000228095.3	0	0	0	0
ENSG00000148053.18	281	18	144	5
ENSG00000226590.1	0	1	0	0
ENSG00000285556.1	50	11	0	0
ENSG00000287930.1	0	49	0	67
ENSG00000285634.3	39	48	1	0
ENSG00000227412.1	45	0	46	20
ENSG00000135049.16	62	1	122	67
ENSG00000234424.2	36	0	1	4
ENSG00000229454.1	0	0	0	0
ENSG00000230303.6	2	0	4	0
ENSG00000165121.12	15	36	5	45
ENSG00000289214.1	10	27	34	0
ENSG00000213711.3	0	0	1	0
ENSG00000231741.2	0	35	0	55
ENSG00000135040.16	5	306	4	19
ENSG00000135052.16	1	77	1	6
ENSG00000287333.1	0	48	0	25
ENSG00000233713.2	1	0	0	0
ENSG00000187753.13	0	17	0	1
ENSG00000270688.1	0	0	0	0
ENSG00000223012.1	0	0	0	0
ENSG00000135070.15	7	16	5	0
ENSG00000083223.18	1	89	1	0
ENSG00000214908.3	0	15	0	0
ENSG00000235819.2	0	0	0	1
ENSG00000222293.1	0	0	0	0
ENSG00000232211.1	0	0	0	1
ENSG00000285686.1	14	0	0	33
ENSG00000288575.1	33	13	107	0
ENSG00000180447.7	72	119	18	0
ENSG00000226237.3	56	64	61	39
ENSG00000269994.3	3	0	67	65
ENSG00000231007.5	0	0	0	0
ENSG00000224887.1	48	0	0	0
ENSG00000204446.4	0	165	1	0
ENSG00000288903.1	101	0	92	1
ENSG00000212421.1	0	0	0	0
ENSG00000289166.1	0	0	0	10
ENSG00000288968.1	0	0	1	0
ENSG00000228373.2	1	3	0	0
ENSG00000286842.1	2	74	0	52
ENSG00000196730.13	3	28	30	3
ENSG00000219928.2	0	0	0	0
ENSG00000236709.1	0	0	0	0
ENSG00000135047.16	30	97	1	12
ENSG00000237747.1	2	0	35	0
ENSG00000188029.8	33	18	13	46
ENSG00000276478.1	0	13	21	5
ENSG00000237743.3	0	1	45	2
ENSG00000232743.2	0	0	0	0
ENSG00000277357.1	0	0	0	0
ENSG00000234575.2	32	8	3	58
ENSG00000233884.2	0	2	46	61
ENSG00000214888.3	0	0	75	0
ENSG00000234460.2	0	14	0	13
ENSG00000177992.10	131	181	131	4
ENSG00000230246.7	2	89	111	100
ENSG00000289459.1	2	20	0	0
ENSG00000238110.1	40	0	0	0
ENSG00000283205.1	0	0	3	0
ENSG00000156345.18	2	2	1	40
ENSG00000271923.1	0	0	0	0
ENSG00000217716.3	23	16	10	7
ENSG00000287750.2	48	28	67	0
ENSG00000225385.3	0	0	0	0
ENSG00000177910.9	24	90	189	197
ENSG00000276535.1	21	0	0	50
ENSG00000279154.1	1	0	0	0
ENSG00000204429.4	0	1	2	2
ENSG00000229288.1	18	0	42	0
ENSG00000226327.3	0	0	33	0
ENSG00000287769.1	0	0	19	1
ENSG00000106723.17	129	89	193	5
ENSG00000275017.1	0	0	0	0
ENSG00000227638.2	0	0	0	0
ENSG00000231804.1	0	10	0	17
ENSG00000130045.17	1	17	36	52
ENSG00000228189.5	99	11	52	30
ENSG00000286414.1	77	16	102	20
ENSG00000265873.1	0	0	0	0
ENSG00000225856.2	0	1	0	1
ENSG00000228658.1	0	23	0	10
ENSG00000213694.6	246	0	416	0
ENSG00000148082.10	293	42	14	1
ENSG00000224945.1	0	0	0	0
ENSG00000123975.5	23	0	0	0
ENSG00000265112.1	0	0	0	0
ENSG00000187742.15	1	2	279	14
ENSG00000187764.12	9	4	1	51
ENSG00000231799.2	0	0	0	0
ENSG00000225460.1	0	0	0	0
ENSG00000285907.1	17	58	0	1
ENSG00000130222.11	15	0	44	0
ENSG00000237372.4	3	78	20	129
ENSG00000236507.2	0	0	0	0
ENSG00000226206.1	1	6	0	33
ENSG00000237626.2	34	43	96	3
ENSG00000227555.1	1	106	0	0
ENSG00000263967.1	0	0	0	0
ENSG00000234910.2	38	0	0	0
ENSG00000278382.1	0	1	0	0
ENSG00000279503.1	0	13	0	20
ENSG00000185074.7	0	0	1	43
ENSG00000225072.1	18	0	0	0
ENSG00000231107.2	19	2	3	3
ENSG00000229613.2	3	9	16	58
ENSG00000165023.7	10	0	0	32
ENSG00000236316.2	36	0	0	25
ENSG00000270432.1	24	0	39	52
ENSG00000165025.15	76	20	262	332
ENSG00000287212.1	37	0	0	0
ENSG00000228216.1	0	2	0	5
ENSG00000260454.2	41	0	0	1
ENSG00000237422.3	112	44	0	108
ENSG00000230537.2	0	1	1	0
ENSG00000229694.8	0	0	0	0
ENSG00000235641.5	0	0	0	0
ENSG00000230147.2	0	0	0	0
ENSG00000289123.1	0	0	0	0
ENSG00000273381.1	0	0	0	0
ENSG00000148090.12	31	2	2	6
ENSG00000165030.4	88	0	0	0
ENSG00000233081.1	14	0	19	11
ENSG00000169071.15	16	312	3	230
ENSG00000228595.1	0	0	0	0
ENSG00000266855.1	0	0	0	0
ENSG00000283351.1	0	0	0	0
ENSG00000090054.16	3	189	21	72
ENSG00000227399.1	0	0	0	0
ENSG00000237306.1	0	0	0	0
ENSG00000275756.1	0	0	0	0
ENSG00000232179.1	0	0	0	0
ENSG00000228069.1	0	0	0	0
ENSG00000238288.1	0	0	0	0
ENSG00000240791.1	0	0	0	0
ENSG00000227321.2	0	0	0	0
ENSG00000234537.1	82	0	1	40
ENSG00000225511.7	6	0	29	1
ENSG00000236717.2	0	0	0	0
ENSG00000224809.2	0	64	0	0
ENSG00000276717.2	17	17	53	3
ENSG00000236115.1	0	31	0	7
ENSG00000196305.19	417	1	14	37
ENSG00000281156.1	0	0	0	0
ENSG00000239183.1	0	0	0	0
ENSG00000198000.12	16	13	13	51
ENSG00000188312.14	23	10	3	44
ENSG00000229530.1	0	0	0	0
ENSG00000106809.11	0	0	0	0
ENSG00000127083.8	0	0	0	0
ENSG00000106819.13	0	0	0	0
ENSG00000106823.13	0	0	0	0
ENSG00000264158.1	0	0	0	0
ENSG00000225551.1	0	0	0	0
ENSG00000285650.1	0	0	0	0
ENSG00000127080.10	7	32	48	8
ENSG00000213669.2	23	0	0	5
ENSG00000185963.14	271	139	2	0
ENSG00000288062.1	0	0	0	93
ENSG00000288271.1	0	7	0	6
ENSG00000187984.13	0	0	0	0
ENSG00000252772.1	0	0	0	0
ENSG00000226721.2	0	0	0	0
ENSG00000275318.1	0	0	0	0
ENSG00000127081.14	0	0	0	0
ENSG00000226668.5	0	0	3	0
ENSG00000232843.2	0	0	0	0
ENSG00000188101.5	36	0	5	21
ENSG00000127084.19	124	27	20	1
ENSG00000157303.11	83	1	1	16
ENSG00000223446.2	0	24	0	48
ENSG00000165233.18	21	97	22	0
ENSG00000131669.10	8	25	24	26
ENSG00000203364.2	0	0	0	0
ENSG00000165238.17	25	1	30	16
ENSG00000204352.4	7	17	0	1
ENSG00000200570.1	0	0	0	0
ENSG00000201074.1	0	0	0	0
ENSG00000237385.1	13	0	0	18
ENSG00000188938.17	1	71	0	0
ENSG00000048828.17	1	74	17	17
ENSG00000289031.1	0	0	0	0
ENSG00000197724.11	6	170	3	0
ENSG00000283146.1	0	0	0	0
ENSG00000231990.2	4	48	21	18
ENSG00000265347.1	0	0	0	0
ENSG00000131668.14	0	49	21	0
ENSG00000235601.1	0	0	0	0
ENSG00000158079.16	202	7	176	289
ENSG00000227666.1	0	0	0	0
ENSG00000286834.1	4	0	25	64
ENSG00000286203.1	0	6	0	1
ENSG00000269929.4	0	32	0	0
ENSG00000199165.3	0	0	0	0
ENSG00000199072.3	0	0	0	0
ENSG00000230262.8	3	11	11	2
ENSG00000199133.3	0	0	0	0
ENSG00000175787.17	58	0	12	9
ENSG00000237679.2	0	0	0	0
ENSG00000130950.15	7	115	5	6
ENSG00000232063.2	0	91	0	0
ENSG00000224815.3	0	0	0	0
ENSG00000282886.1	0	0	0	0
ENSG00000148110.17	6	42	22	30
ENSG00000278486.1	0	0	0	0
ENSG00000286850.1	30	34	1	35
ENSG00000224245.1	1	1	3	0
ENSG00000202445.1	0	0	0	0
ENSG00000231806.4	39	12	0	7
ENSG00000130957.5	0	0	0	0
ENSG00000165140.12	26	46	98	111
ENSG00000288023.1	0	32	0	18
ENSG00000148120.18	46	19	31	301
ENSG00000252153.1	0	0	0	0
ENSG00000230815.1	0	0	0	0
ENSG00000236095.1	0	0	0	0
ENSG00000224764.1	0	0	0	0
ENSG00000285807.1	0	0	0	0
ENSG00000274115.1	0	0	0	0
ENSG00000207563.1	0	0	0	0
ENSG00000207864.3	0	0	0	0
ENSG00000207617.4	0	0	0	0
ENSG00000284459.1	0	0	0	0
ENSG00000158169.14	71	1	8	2
ENSG00000229065.1	0	0	0	0
ENSG00000223849.1	0	0	0	0
ENSG00000251884.1	0	0	0	0
ENSG00000230221.2	0	0	0	0
ENSG00000271384.1	0	0	0	0
ENSG00000213761.4	0	0	0	0
ENSG00000185920.18	18	160	3	1
ENSG00000271314.1	0	0	0	0
ENSG00000271155.1	0	0	0	0
ENSG00000271659.1	0	0	0	0
ENSG00000229345.2	35	64	0	48
ENSG00000228142.3	6	0	0	2
ENSG00000227358.1	0	0	0	0
ENSG00000175611.13	3	56	3	0
ENSG00000268926.3	0	0	0	0
ENSG00000252847.1	0	0	0	0
ENSG00000182150.19	29	3	8	132
ENSG00000199202.1	0	0	0	0
ENSG00000237631.2	0	0	0	0
ENSG00000225194.4	0	0	0	0
ENSG00000237212.2	0	0	0	0
ENSG00000201938.1	0	0	0	0
ENSG00000275465.7	0	0	0	0
ENSG00000287187.1	0	0	0	46
ENSG00000224546.2	0	3	0	61
ENSG00000130948.10	0	0	0	0
ENSG00000285269.2	0	1	0	39
ENSG00000232283.1	0	0	0	0
ENSG00000207276.1	0	0	0	0
ENSG00000130958.13	1	30	45	6
ENSG00000165244.7	0	169	1	234
ENSG00000238251.2	0	0	0	0
ENSG00000286835.1	0	0	0	0
ENSG00000287302.1	18	18	0	0
ENSG00000130956.14	69	22	6	17
ENSG00000081377.17	4	1	5	2
ENSG00000158122.12	67	2	0	1
ENSG00000224848.3	0	0	1	42
ENSG00000233820.2	0	0	0	0
ENSG00000081386.13	21	0	0	9
ENSG00000196597.13	6	0	145	65
ENSG00000196312.15	0	3	34	0
ENSG00000269907.1	0	0	0	0
ENSG00000227257.1	0	0	0	0
ENSG00000188152.13	0	0	0	0
ENSG00000236745.2	0	0	0	0
ENSG00000136943.12	6	93	2	88
ENSG00000197214.5	0	0	0	0
ENSG00000228376.3	0	0	0	0
ENSG00000228038.1	0	0	0	0
ENSG00000213612.3	0	0	0	0
ENSG00000277103.1	0	0	0	0
ENSG00000159712.10	221	4	9	142
ENSG00000252721.1	0	0	0	0
ENSG00000242375.1	0	0	0	0
ENSG00000188801.9	0	0	0	0
ENSG00000203279.5	27	0	16	0
ENSG00000289356.1	0	0	0	0
ENSG00000235494.2	0	0	0	0
ENSG00000254876.5	0	0	0	0
ENSG00000255036.6	0	0	10	10
ENSG00000254483.1	0	0	0	0
ENSG00000254633.2	0	0	0	0
ENSG00000197816.16	0	0	0	0
ENSG00000221269.1	0	0	0	0
ENSG00000228957.1	0	123	7	2
ENSG00000286375.1	0	0	0	24
ENSG00000196116.8	10	230	0	2
ENSG00000136842.14	116	1	0	0
ENSG00000228174.7	0	0	0	0
ENSG00000136925.15	43	0	0	41
ENSG00000136937.13	354	0	301	26
ENSG00000231521.1	0	0	0	0
ENSG00000136936.11	0	0	0	48
ENSG00000214417.4	0	25	0	0
ENSG00000236130.2	7	23	9	4
