Geneid	Case1	Case2	Control1	Control2
ENSG00000107165.13	0	0	4	0
ENSG00000235448.3	0	1	0	1
ENSG00000243115.3	0	0	0	0
ENSG00000153714.6	7	0	0	0
ENSG00000222658.1	0	0	0	0
ENSG00000285637.2	70	1	0	1
ENSG00000214121.4	0	0	0	0
ENSG00000234586.2	0	0	0	0
ENSG00000107186.17	102	458	139	2
ENSG00000234740.1	0	0	0	0
ENSG00000223672.2	0	0	0	0
ENSG00000226197.4	42	6	4	1
ENSG00000270547.6	0	0	0	0
ENSG00000288556.1	0	0	0	0
ENSG00000205636.3	1	0	26	6
ENSG00000229268.1	47	0	8	17
ENSG00000235533.1	29	0	0	22
ENSG00000289185.1	30	51	58	15
ENSG00000223568.1	0	0	0	0
ENSG00000213954.3	0	2	16	5
ENSG00000147862.18	6	3	151	39
ENSG00000234982.1	0	0	0	0
ENSG00000288876.1	0	0	0	0
ENSG00000225472.2	0	0	0	0
ENSG00000287708.1	9	205	3	56
ENSG00000237137.1	0	0	0	0
ENSG00000273399.2	20	25	0	0
ENSG00000272871.1	58	0	0	55
ENSG00000229029.2	0	0	32	29
ENSG00000175893.12	148	0	26	476
ENSG00000147869.5	0	0	33	0
ENSG00000164946.20	4	50	4	468
ENSG00000286500.1	0	0	0	0
ENSG00000283647.1	0	0	0	0
ENSG00000199814.1	0	0	0	0
ENSG00000232000.3	3	3	9	16
ENSG00000214110.3	0	0	0	0
ENSG00000215237.6	0	0	0	0
ENSG00000234297.2	0	0	0	0
ENSG00000251960.1	0	0	0	0
ENSG00000155158.20	94	17	76	14
ENSG00000215236.3	39	0	0	0
ENSG00000164975.16	176	155	12	36
ENSG00000251834.1	0	0	0	0
ENSG00000164985.15	7	46	2	1
ENSG00000278754.1	0	0	0	0
ENSG00000240613.3	0	0	4	0
ENSG00000213362.3	0	0	19	0
ENSG00000207433.1	0	0	0	0
ENSG00000164989.17	43	31	57	86
ENSG00000231376.1	0	0	0	0
ENSG00000207360.1	0	0	0	0
ENSG00000205549.10	3	37	2	1
ENSG00000173068.18	5	152	44	56
ENSG00000231756.1	0	0	0	0
ENSG00000230694.1	0	0	0	0
ENSG00000234779.1	0	0	0	0
ENSG00000233551.2	0	0	0	0
ENSG00000237153.4	2	21	0	47
ENSG00000285169.2	0	0	0	0
ENSG00000241152.3	0	0	0	0
ENSG00000226470.1	0	0	0	0
ENSG00000237083.1	0	0	0	0
ENSG00000044459.15	64	120	172	6
ENSG00000224488.1	0	0	0	0
ENSG00000107295.10	8	7	36	4
ENSG00000228810.1	0	0	0	0
ENSG00000178031.18	14	10	19	14
ENSG00000227167.1	0	0	0	0
ENSG00000264638.1	0	0	0	0
ENSG00000252960.1	0	0	0	0
ENSG00000236857.3	0	0	0	0
ENSG00000155875.15	2	3	28	1
ENSG00000236680.1	0	0	0	0
ENSG00000155876.6	19	83	79	53
ENSG00000147874.11	22	2	63	5
ENSG00000251733.1	0	0	0	0
ENSG00000252943.1	0	0	0	0
ENSG00000201118.1	0	0	0	0
ENSG00000147872.10	0	0	20	1
ENSG00000232176.1	2	0	6	0
ENSG00000137145.21	49	1	4	76
ENSG00000232978.2	0	0	0	0
ENSG00000272842.1	0	0	0	0
ENSG00000273226.1	15	15	22	10
ENSG00000137154.13	37	9	0	0
ENSG00000234853.2	0	0	0	0
ENSG00000285911.1	0	41	0	1
ENSG00000177076.6	0	10	37	79
ENSG00000260912.1	0	83	16	0
ENSG00000231909.7	1	12	10	37
ENSG00000155886.12	212	22	2	36
ENSG00000232158.1	0	0	0	0
ENSG00000286685.2	5	2	2	60
ENSG00000276667.1	0	0	0	0
ENSG00000261402.1	0	28	0	0
ENSG00000270712.1	0	0	0	0
ENSG00000277711.1	0	23	0	0
ENSG00000237434.1	33	12	2	40
ENSG00000171843.17	3	4	6	230
ENSG00000263790.1	0	0	0	0
ENSG00000222202.1	0	0	0	0
ENSG00000264941.1	0	0	0	0
ENSG00000237088.1	0	0	0	0
ENSG00000188352.13	3	9	37	567
ENSG00000227071.1	0	0	0	0
ENSG00000207609.3	0	0	0	0
ENSG00000202189.1	0	0	0	0
ENSG00000188921.14	331	0	40	210
ENSG00000230208.1	0	0	18	0
ENSG00000171855.7	0	26	0	0
ENSG00000225027.2	0	0	0	2
ENSG00000275980.1	6	0	0	3
ENSG00000177047.7	47	43	0	0
ENSG00000199635.1	0	0	0	0
ENSG00000137080.4	3	0	0	28
ENSG00000232281.2	0	9	19	0
ENSG00000236637.4	0	7	3	21
ENSG00000226597.1	1	23	1	17
ENSG00000214042.1	6	0	0	6
ENSG00000186803.3	0	0	0	1
ENSG00000223684.1	0	11	29	10
ENSG00000147885.4	0	29	33	0
ENSG00000234829.4	44	30	48	15
ENSG00000232138.1	20	0	0	3
ENSG00000228083.3	0	46	0	0
ENSG00000224416.2	5	27	14	0
ENSG00000147873.6	9	0	13	47
ENSG00000226393.1	21	11	0	1
ENSG00000198642.7	0	12	77	158
ENSG00000120235.4	0	54	13	3
ENSG00000233816.3	38	0	5	14
ENSG00000188379.7	41	0	0	0
ENSG00000261696.1	34	0	7	40
ENSG00000231195.1	22	10	0	0
ENSG00000235108.1	0	22	29	1
ENSG00000120242.4	19	0	48	40
ENSG00000288541.1	0	240	0	20
ENSG00000237691.1	0	0	0	0
ENSG00000197919.6	1	0	34	14
ENSG00000171889.6	49	0	109	97
ENSG00000238271.2	0	0	0	0
ENSG00000184995.7	0	0	0	0
ENSG00000199177.1	0	0	0	0
ENSG00000264379.1	0	0	0	0
ENSG00000227443.2	13	3	0	5
ENSG00000229835.2	67	34	15	28
ENSG00000244230.3	1	4	0	0
ENSG00000099810.21	0	0	0	0
ENSG00000264545.2	1	0	1	0
ENSG00000229298.1	0	0	0	0
ENSG00000265194.1	0	0	0	0
